Artifact Id,Example,Example Source,Example Description
d3f:Command,User State Migration Tool,dbpedia,"The User State Migration Tool (USMT) is a command line utility program developed by Microsoft that allows users comfortable with scripting languages to transfer files and settings between Windows PCs. This task is also performed by Windows Easy Transfer, which was designed for general users but then discontinued with the release of Windows 10, where they instead partnered with Laplink. Starting with Windows 8, many settings and data are now being synchronized in cloud services via a Microsoft Account and OneDrive. USMT allows a high-volume, automated deployment of files and settings, and is also useful in migrating user settings and files during OS upgrades. Because USMT has high complexity and a command line interface, there have been several attempts to provide access to its useful funct"
d3f:Command,Ipcrm,dbpedia,"ipcrm is a Unix and Linux command which will mark System V interprocess communication API kernel entities for removal. Actual removal is deferred until the last connected process has detached.System V IPC kernel entities are: 
* Shared memory (interprocess communication) segments 
* Message queues 
* Semaphore arrays"
d3f:Command,Objdump,dbpedia,"objdump is a command-line program for displaying various information about object files on Unix-like operating systems. For instance, it can be used as a disassembler to view an executable in assembly form. It is part of the GNU Binutils for fine-grained control over executables and other binary data. objdump uses the BFD library to read the contents of object files. Similar utilities are Borland , Microsoft and readelf. Note that on certain platforms (e.g. macOS), the objdump binary may actually be a link to llvm's objdump, with different command-line options and behavior."
d3f:Command,Peripheral Interchange Program,dbpedia,"Peripheral Interchange Program (PIP) was a utility to transfer files on and between devices on Digital Equipment Corporation's computers. It was first implemented on the PDP-6 architecture by Harrison ""Dit"" Morse early in the 1960s. It was subsequently implemented for DEC's operating systems for PDP-10, PDP-11, and PDP-8 architectures.In the 1970s and 1980s Digital Research implemented PIP on CP/M and MP/M."
d3f:Command,Wait (command),dbpedia,"In Unix shells, wait is a command which pauses until execution of a background process has ended."
d3f:Command,Fmt (Unix),dbpedia,"The fmt command in Unix, Plan 9, Inferno, and Unix-like operating systems is used to format natural language text for humans to read."
d3f:Command,Test (Unix),dbpedia,"test is a command-line utility found in Unix, Plan 9, and Unix-like operating systems that evaluates conditional expressions. test was turned into a shell builtin command in 1981 with UNIX System III and at the same time made available under the alternate name [."
d3f:Command,Expr,dbpedia,expr is a command line utility on Unix and Unix-like operating systems which evaluates an expression and outputs the corresponding value. It first appeared in Unix v7. The command is available as a separate package for Microsoft Windows as part of the UnxUtils collection of native Win32 ports of common GNU Unix-like utilities. The expr command has also been ported to the IBM i operating system.
d3f:Command,Basename,dbpedia,"basename is a standard computer program on Unix and Unix-like operating systems. When basename is given a pathname, it will delete any prefix up to the last slash ('/') character and return the result. basename is described in the Single UNIX Specification and is primarily used in shell scripts."
d3f:Command,Fold (Unix),dbpedia,"fold is a Unix command used for making a file with long lines more readable on a limited width computer terminal by performing a line wrap. Most Unix terminals have a default screen width of 80, and therefore reading files with long lines could get annoying. The fold command puts a line feed every X characters if it does not reach a new line before that point. If the -w argument is set, the fold command allows the user to set the maximum length of a line."
d3f:Command,Mail (Unix),dbpedia,mail is a command-line email client for Unix and Unix-like operating systems.
d3f:Command,Timeout (computing),dbpedia,"In telecommunications and related engineering (including computer networking and programming), the term timeout or time-out has several meanings, including: 
* A network parameter related to an enforced event designed to occur at the conclusion of a predetermined elapsed time. 
* A specified period of time that will be allowed to elapse in a system before a specified event is to take place, unless another specified event occurs first; in either case, the period is terminated when either event takes place. Note: A timeout condition can be canceled by the receipt of an appropriate time-out cancellation signal. 
* An event that occurs at the end of a predetermined period of time that began at the occurrence of another specified event. The timeout can be prevented by an appropriate signal."
d3f:Command,Dpath,dbpedia,"In computing, dpath is an internal cmd.exe command on IBM OS/2 and Microsoft Windows that allows using a set of files with the <a href=""/wiki/TYPE_(DOS_command)"" title=""TYPE (DOS command)"">TYPE</a> command and with input redirection as if they are in the current directory. On Windows it is undocumented and deprecated. dpath differs from the <a href=""/wiki/List_of_DOS_commands#APPEND"" title=""List of DOS commands"">append</a> command in the way it operates. dpath informs programs what directories they should search in order to find computer files. It is then up to the applications to recognize %DPATH%. Using the append command on the other side, programs are able to find files without recognizing that the command is in effect."
d3f:Command,Fortune (Unix),dbpedia,"fortune is a program that displays a pseudorandom message from a database of quotations that first appeared in Version 7 Unix. The most common version on modern systems is the BSD fortune, originally written by Ken Arnold. Distributions of fortune are usually bundled with a collection of themed files, containing sayings like those found on fortune cookies (hence the name), quotations from famous people, jokes, or poetry. As of November 2017, the quotations (with the exception of tips relevant to system operation) have been removed from FreeBSD entirely after user complaints regarding quotations from Adolf Hitler being contained in some of the files."
d3f:Command,Factor (Unix),dbpedia,"On Unix, Plan 9, and Unix-like computer systems, factor is a utility for factoring an integer into its prime factors."
d3f:Command,Robocopy,dbpedia,"Robocopy, for ""Robust File Copy"", is a command-line directory and/or file replication command for Microsoft Windows. Robocopy functionally replaces Xcopy, with more options. Created by Kevin Allen and first released as part of the Windows NT 4.0 Resource Kit, it has been a standard feature of Windows since Windows Vista and Windows Server 2008. The command is robocopy."
d3f:Command,Ls,dbpedia,"In computing, ls is a command to list computer files and directories in Unix and Unix-like operating systems. It is specified by POSIX and the Single UNIX Specification. It is available in the EFI shell., as a separate package for Microsoft Windows as part of the UnxUtils collection of native Win32 ports of common GNU Unix-like utilities.or as part of ASCII's MSX-DOS2 Tools for MSX-DOS version 2. The numerical computing environments MATLAB and GNU Octave include an ls function with similar functionality."
d3f:Command,Shar,dbpedia,"In the Unix operating system, shar (an abbreviation of shell archive) is an archive format created with the Unix shar utility. A shar file is a type of self-extracting archive, because it is a valid shell script, and executing it will recreate the files. To extract the files, only the standard Unix Bourne shell sh is usually required. Note that the shar command is not specified by the Single Unix Specification, so it is not formally a component of Unix, but a legacy utility."
d3f:Command,Exe2bin,dbpedia,The command-line tool exe2bin is a post-compilation utility program available on MS-DOS and other operating systems.
d3f:Command,Background Intelligent Transfer Service  BITSAdmin  1,dbpedia,"Background Intelligent Transfer Service (BITS) is a Windows service that facilitates asynchronous file transfers between computers. It is primarily used by Windows Update, Windows Defender, and other Windows components to download updates, patches, and other files from the internet. BITS allows for efficient and non-disruptive file transfers, adjusting transfer rates based on network availability to minimize impact on the user's experience."
d3f:Command,Move (command),dbpedia,"In computing, move is a command in various command-line interpreters (shells) such as <a href=""/wiki/COMMAND.COM"" title=""COMMAND.COM"">COMMAND.COM</a>, <a href=""/wiki/Cmd.exe"" title=""Cmd.exe"">cmd.exe</a>, 4DOS/4NT, and PowerShell. It is used to move one or more files or directories from one place to another. The original file is deleted, and the new file may have the same or a different name. The command is analogous to the Unix <a href=""/wiki/Mv_(Unix)"" title=""Mv (Unix)"">mv</a> command and to the OpenVOS move_file and move_dircommands."
d3f:Command,PathPing,dbpedia,The <b>PathPing</b> command is a command-line network utility supplied in Windows 2000 and beyond that combines the functionality of ping with that of tracert. It is used to locate spots that have network latency and network loss.
d3f:Command,Traceroute,dbpedia,"In computing, traceroute and tracert are computer network diagnostic commands for displaying possible routes (paths) and measuring transit delays of packets across an Internet Protocol (IP) network. The history of the route is recorded as the round-trip times of the packets received from each successive host (remote node) in the route (path); the sum of the mean times in each hop is a measure of the total time spent to establish the connection. Traceroute proceeds unless all (usually three) sent packets are lost more than twice; then the connection is lost and the route cannot be evaluated. Ping, on the other hand, only computes the final round-trip times from the destination point."
d3f:Command,Sleep (command),dbpedia,"In computing, sleep is a command in Unix, Unix-like and other operating systems that suspends program execution for a specified time."
d3f:Command,Mkfs,dbpedia,"In computer operating systems, mkfs is a command used to format a block storage device with a specific file system. The command is part of Unix and Unix-like operating systems. In Unix, a block storage device must be formatted with a file system before it can be mounted and accessed through the operating system's filesystem hierarchy."
d3f:Command,Df (Unix),dbpedia,df (abbreviation for disk free) is a standard Unix command used to display the amount of available disk space for file systems on which the invoking user has appropriate read access. df is typically implemented using the or statvfs system calls.
d3f:Command,Csplit,dbpedia,The csplit command in Unix and Unix-like operating systems is a utility that is used to split a file into two or more smaller files determined by context lines.
d3f:Command,Touch (command),dbpedia,"In computing, touch is a command used to update the access date and/or modification date of a computer file or directory. It is included in Unix and Unix-like operating systems, TSC's FLEX, Digital Research/Novell DR DOS, the AROS shell, the Microware OS-9 shell, and ReactOS.The command is also available for FreeDOS and Microsoft Windows."
d3f:Command,Cp (Unix),dbpedia,"In computing, cp is a command in various Unix and Unix-like operating systems for copying files and directories. The command has three principal modes of operation, expressed by the types of arguments presented to the program for copying a file to another file, one or more files to a directory, or for copying entire directories to another directory. The utility further accepts various command line option flags to detail the operations performed. The two major specifications are POSIX cp and GNU cp. GNU cp has many additional options over the POSIX version."
d3f:Command,At (command),dbpedia,"In computing, at is a command in Unix-like operating systems, Microsoft Windows, and ReactOS used to schedule commands to be executed once, at a particular time in the future."
d3f:Command,Diskcomp,dbpedia,"In computing, diskcomp is a command used for comparing the complete contents of a floppy disk to another one."
d3f:Command,Whoami  whoami  1,dbpedia,"The whoami command is a utility that reveals the current username associated with the active user session. It was first introduced in Unix Version 6 and is used to unveil the groups that a user is a part of. This information is valuable for navigating system permissions, access rights, and collaborative environments. The command provides a swift response by outputting the username associated with the user who issued the command. In Linux, it is a built-in utility that tells you who you are logged in as."
d3f:Command,Env,dbpedia,"<b>env</b> is a shell command for Unix and Unix-like operating systems. It is used to either print a list of environment variables or run another utility in an altered environment without having to modify the currently existing environment. Using env, variables may be added or removed, and existing variables may be changed by assigning new values to them. In practice, env has another common use. It is often used by shell scripts to launch the correct interpreter. In this usage, the environment is typically not changed."
d3f:Command,Ipcs,dbpedia,"ipcs is a Unix and Linux command to list System V InterProcess Communication System's API kernel entities to stdout.System V IPC kernel entities are: 
* Shared memory segments 
* Message queues 
* Semaphore arrays"
d3f:Command,Diskcopy,dbpedia,"In computing, diskcopy is a command used on a number of operating systems for copying the complete contents of a diskette to another diskette."
d3f:Command,Fc (Unix),dbpedia,"fc is a standard program on Unix and Unix-like operating systems that lists, edits and reexecutes commands previously entered to an interactive shell. fc is a builtin command in the Bash and Zsh shells and is an initialism for ""fix command"". It is particularly helpful for editing complex, multi-line commands. The editor can be specified by setting the EDITOR (changes the default editor) or the FCEDIT environment variable."
d3f:Command,Sum (Unix),dbpedia,"sum is a legacy utility available on some Unix and Unix-like operating systems. This utility outputs a 16-bit checksum of each argument file, as well as the number of blocks they take on disk. Two different checksum algorithms are in use. POSIX abandoned sum in favor of cksum."
d3f:Command,Netsh,dbpedia,"In computing, netsh, or network shell, is a command-line utility included in Microsoft's Windows NT line of operating systems beginning with Windows 2000. It allows local or remote configuration of network devices such as the interface."
d3f:Command,True and false (commands),dbpedia,"In Unix-like operating systems, true and false are commands whose only function is to always return with a predetermined exit status. Programmers and scripts often use the exit status of a command to assess success (exit status zero) or failure (non-zero) of the command. The true and false commands represent the logical values of command success, because true returns 0, and false returns 1."
d3f:Command,Clear (Unix),dbpedia,"clear is a computer operating system command which is used to bring the command line on top of the computer terminal. It is available in various Unix shells on Unix and Unix-like operating systems as well as on other systems such as KolibriOS. In ISO 9995-7 specifies that the following symbol be used to indicate this function on a keyboard, which is included in Unicode as: ⎚ CLEAR SCREEN SYMBOL. One may use the <a href=""/wiki/Reset_(computing)"" title=""Reset (computing)"">reset</a> command to erase every previous command."
d3f:Command,Who (Unix),dbpedia,"The standard Unix command who displays a list of users who are currently logged into the computer. The who command is related to the command w, which provides the same information but also displays additional data and statistics."
d3f:Command,UUCP,dbpedia,"UUCP is an acronym of Unix-to-Unix Copy. The term generally refers to a suite of computer programs and protocols allowing remote execution of commands and transfer of files, email and netnews between computers. Although UUCP was originally developed on Unix in the 1970s and 1980s, and is most closely associated with Unix-like systems, UUCP implementations exist for several non-Unix-like operating systems, including DOS, OS/2, OpenVMS (for VAX hardware only), AmigaOS, classic Mac OS, and even CP/M."
d3f:Command,Sort (Unix),dbpedia,"In computing, sort is a standard command line program of Unix and Unix-like operating systems, that prints the lines of its input or concatenation of all files listed in its argument list in sorted order. Sorting is done based on one or more sort keys extracted from each line of input. By default, the entire input is taken as sort key. Blank space is the default field separator. The command supports a number of command-line options that can vary by implementation. For instance the ""-r"" flag will reverse the sort order."
d3f:Command,Choice (command),dbpedia,"In computing, choice is a command that allows for batch files to prompt the user to select one item from a set of single-character choices. It is available in a number of operating system command-line shells."
d3f:Command,CLS (command),dbpedia,"In computing, CLS (for clear screen) is a command used by the command-line interpreters <a href=""/wiki/COMMAND.COM"" title=""COMMAND.COM"">COMMAND.COM</a> and <a href=""/wiki/Cmd.exe"" title=""Cmd.exe"">cmd.exe</a> on DOS, Digital Research FlexOS, IBM OS/2, Microsoft Windows and ReactOS operating systems to clear the screen or console window of commands and any output generated by them. It does not clear the user's history of commands, however.The command is also available in the DEC RT-11 operating system, in the open-source MS-DOS emulator DOSBox and in the EFI shell. In other environments, such as Linux and Unix, the same functionality is provided by the <a href=""/wiki/Clear_(Unix)"" title=""Clear (Unix)"">clear</a> command."
d3f:Command,Shred (Unix),dbpedia,"shred is a command on Unix-like operating systems that can be used to securely delete files and devices so that it is extremely difficult to recover them, even with specialized hardware and technology; assuming it's even possible to recover the file at all. It is a part of GNU Core Utilities."
d3f:Command,Ar (Unix),dbpedia,"The archiver, also known simply as ar, is a Unix utility that maintains groups of files as a single archive file. Today, ar is generally used only to create and update static library files that the link editor or linker uses and for generating .deb packages for the Debian family; it can be used to create archives for any purpose, but has been largely replaced by <a href=""/wiki/Tar_(computing)"" title=""Tar (computing)"">tar</a> for purposes other than static libraries. An implementation of ar is included as one of the GNU Binutils."
d3f:Command,Windows Registry  reg  1,dbpedia,"Windows Registry reg 1 (Command) is a tool that allows users to make changes to the configuration settings of their computer. It is accessed through the Command Prompt, which needs to be opened as an administrator. The registry is organized into registry hives, which are folders that categorize data using subfolders. Each hive contains registry keys, which are folders that contain instructions, and registry values, which are the actual instructions. The registry is a database that stores settings for the operating system and installed software applications. It is important to exercise caution when making changes to the registry."
d3f:Command,Bootcfg,dbpedia,"In computing, bootcfg is a command on Microsoft Windows NT-based operating systems which acts as a wrapper for editing the boot.ini file."
